,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Dallas Cowboys,16,454,5482,1075,5.1,39,14,337,265,449,3104,30,25,6.5,171,595,2378,26,4,143,109,908,23,,
2,New England Patriots,16,441,5435,1026,5.3,36,9,319,240,413,3195,27,27,7.3,154,588,2240,19,3.8,139,79,696,26,,
3,Los Angeles Rams,16,424,6006,1095,5.5,36,13,316,261,451,3207,31,23,6.7,157,615,2799,17,4.6,144,118,973,15,,
4,San Diego Chargers,16,418,6410,1135,5.6,48,22,372,350,594,4531,30,26,7.2,244,509,1879,18,3.7,106,109,912,22,,
5,Atlanta Falcons,16,405,5649,1061,5.3,26,9,336,259,467,3244,31,17,6.5,166,559,2405,15,4.3,145,91,861,25,,
6,Philadelphia Eagles,16,384,5519,1036,5.3,28,16,326,275,477,3524,28,12,6.9,186,527,1995,19,3.8,118,96,809,22,,
7,Oakland Raiders,16,364,5045,1044,4.8,44,20,281,235,456,2899,23,24,5.8,149,541,2146,14,4,108,98,929,24,,
8,Cleveland Browns,16,357,5588,1013,5.5,28,14,336,337,554,3915,30,14,6.8,207,436,1673,15,3.8,102,117,1042,27,,
9,Baltimore Colts,16,355,5206,1056,4.9,37,13,327,272,493,3128,25,24,5.9,174,527,2078,20,3.9,128,104,914,25,,
10,Pittsburgh Steelers,16,352,5554,1033,5.4,42,18,308,250,484,3568,26,24,6.8,177,512,1986,15,3.9,111,111,933,20,,
11,Detroit Lions,16,334,5540,1040,5.3,31,19,308,248,423,2941,13,12,6.3,143,572,2599,21,4.5,143,104,844,22,,
12,Buffalo Bills,16,320,4972,1084,4.6,41,22,317,262,461,2750,20,19,5.7,157,603,2222,17,3.7,134,90,731,26,,
13,San Francisco 49ers,16,320,5320,1042,5.1,40,14,298,363,597,3577,27,26,5.7,171,415,1743,10,4.2,105,109,933,22,,
14,Kansas City Chiefs,16,319,4321,1010,4.3,30,16,270,237,401,2448,15,14,5.3,122,552,1873,15,3.4,130,74,591,18,,
15,Minnesota Vikings,16,317,5330,1048,5.1,26,3,324,331,574,3688,22,23,6,191,433,1642,14,3.8,100,90,717,33,,
16,Denver Broncos,16,310,4642,991,4.7,37,12,286,262,467,2777,14,25,5.4,158,480,1865,16,3.9,107,93,899,21,,
17,Chicago Bears,16,304,4835,1016,4.8,39,14,286,209,404,2395,13,25,5.5,121,579,2440,22,4.2,139,100,842,26,,
18,New York Jets,16,302,4882,993,4.9,41,11,289,265,481,3009,17,30,5.8,146,470,1873,17,4,124,103,767,19,,
19,St. Louis Cardinals,16,299,4859,1039,4.7,37,13,281,239,470,2676,16,24,5.1,137,519,2183,19,4.2,123,103,922,21,,
20,Houston Oilers,16,295,5642,1063,5.3,47,19,329,296,463,3007,15,28,6.1,152,573,2635,18,4.6,155,101,838,22,,
21,Seattle Seahawks,16,291,4879,1024,4.8,38,15,302,287,517,3096,18,23,5.5,166,456,1783,13,3.9,114,109,901,22,,
22,New Orleans Saints,16,291,5010,960,5.2,35,13,285,334,566,3648,26,22,6,183,348,1362,9,3.9,80,98,837,22,,
23,Tampa Bay Buccaneers,16,271,5059,1031,4.9,38,21,281,256,530,3220,20,17,5.8,154,477,1839,9,3.9,102,90,840,25,,
24,Miami Dolphins,16,266,4564,1015,4.5,42,16,284,267,492,2688,21,26,5.1,149,492,1876,9,3.8,107,74,567,28,,
25,Washington Redskins,16,261,4854,1039,4.7,36,18,279,284,486,2838,17,18,5.4,148,517,2016,12,3.9,109,114,1008,22,,
26,New York Giants,16,249,4339,1044,4.2,43,18,261,245,514,2609,19,25,4.7,136,483,1730,10,3.6,100,98,962,25,,
27,Cincinnati Bengals,16,244,4884,1060,4.6,33,8,283,281,510,2815,17,25,5.1,147,513,2069,9,4,111,118,949,25,,
28,Green Bay Packers,16,231,5097,1047,4.9,41,12,307,289,511,3291,15,29,5.9,164,493,1806,13,3.7,119,84,697,24,,
